word	n
niektoré	4818
kultúrnych	4817
tvoje	4797
času	4786
postupne	4777
dieťa	4762
štyri	4762
sur	4755
Táto	4746
večer	4740
počet	4734
Dejiny	4731
chcete	4729
vojne	4713
ráno	4705
nakoniec	4704
tebe	4704
jedným	4703
potrebujem	4703
dňa	4687
urobil	4682
zoznam	4678
sv	4674
menej	4671
aké	4657
zároveň	4656
New	4649
istý	4648
titul	4648
určite	4638
nemá	4631
rámci	4610
t	4605
celkom	4595
ďalší	4584
B	4573
nájsť	4572
aký	4563
Alpes	4551
človeka	4545
žena	4543
druhý	4541
sebe	4536
vyzerá	4534
Bratislava	4531
dom	4514
kráľ	4503
Životopis	4494
svojom	4493
mohla	4486
pani	4482
Tieto	4477
pôvodne	4476
Pyrénées	4475
La	4474
Poľsku	4473
ideme	4473
krát	4456
čom	4452
pôsobil	4448
cesta	4444
hovoriť	4439
obdobia	4439
and	4437
fakt	4435
nimi	4429
menom	4423
republiky	4419
muž	4414
koľko	4412
ňou	4409
februára	4404
zomrel	4401
vývoja	4398
pomoc	4395
správne	4390
hore	4386
rovnako	4377
rôzne	4367
gmina	4366
Bystrici	4358
vody	4358
nebude	4354
skoro	4352
štátu	4349
vrátane	4346
pravda	4342
Neskôr	4338
minút	4322
moc	4295
dievča	4285
znovu	4279
Žije	4279
buď	4273
John	4241
Herschel	4240
musel	4240
problémy	4237
členom	4236
nejaký	4227
mnohých	4224
veď	4209
podarilo	4204
fajn	4201
tvorí	4197
typu	4195
Európy	4181
Maďarsku	4164
malé	4157
pomôcť	4155
J	4146
dá	4140
rozdiel	4130
Loire	4115
hry	4103
nadmorskej	4069
malý	4068
územia	4064
najprv	4047
film	4041
celé	4038
cesty	4034
rieky	4025
diela	4017
matka	4014
klub	4009
dole	4003
škole	4001
dať	3992
druh	3991
konci	3990
obsahuje	3983
obvode	3981
nebolo	3977
Slovensko	3970
Slovenskej	3969
napriek	3968
taktiež	3966
Mesto	3962
pozor	3955
oblasť	3946
mnoho	3944
môjho	3940
váš	3936
pracoval	3935
slovenskej	3927
miest	3914
pochádza	3892
sebou	3887
svet	3887
známe	3885
otca	3880
znova	3871
Ak	3861
niekoho	3860
jednotky	3859
auto	3851
môžete	3849
zajtra	3844
ceste	3833
radšej	3827
cestu	3825
rodiny	3822
nebola	3800
leží	3794
super	3792
viacerých	3792
systému	3790
prvá	3785
armády	3783
mojej	3782
Európe	3777
svojou	3775
To	3767
mimo	3759
prestaň	3759
robí	3756
noci	3753
miliónov	3735
vrátil	3735
nemal	3725
oni	3717
patria	3708
riti	3698
štátov	3696
co	3693
William	3692
celej	3687
lode	3683
skutočne	3679
M	3669
ano	3668
chvíľu	3667
Ich	3665
Martin	3654
syna	3636
Majstrovstvá	3631
Nachádza	3631
koniec	3627
prvýkrát	3626
vie	3623
chcela	3616
osôb	3600
naše	3593
Aj	3591
vaše	3584
História	3582
sezóne	3582
päť	3580
náš	3578
č	3574
následne	3566
minulosti	3565
najlepšie	3564
priebehu	3561
tvoria	3560
vidím	3560
väčšinou	3555
doma	3553
dostala	3547
nachádzajú	3537
vznikla	3537
právo	3529
doby	3522
kostol	3520
podobne	3519
týmto	3519
resp	3516
pomerne	3498
vzniku	3498
prišli	3497
albumu	3496
došlo	3494
hodín	3491
miesta	3467
budete	3465
celú	3464
americký	3463
začína	3462
škola	3460
pozrite	3454
konca	3448
triedy	3446
prevažne	3444
moju	3436
polovici	3431
pokiaľ	3429
vojvodstve	3427
loď	3424
Rhône	3413
nemôže	3411
dielo	3403
páči	3403
župe	3403
dostali	3397
Česko	3394
Roku	3392
Peter	3379
poviem	3369
svojim	3369
spôsob	3363
práca	3360
nechaj	3356
odišiel	3352
vedel	3349
mami	3348
zlatko	3347
dvaja	3344
brat	3335
mestom	3332
proste	3327
napísal	3321
klubu	3319
slovo	3301
obdobie	3279
cenu	3275
dvere	3275
hlavné	3275
Normandia	3269
väčšina	3268
rokmi	3247
hrať	3244
ľúto	3241
prvých	3236
niekoľkých	3233
Haute	3230
spôsobom	3230
nemôžeš	3228
práva	3226
iného	3211
možnosť	3209
dodnes	3208
Potom	3196
jediný	3195
jazyk	3190
inak	3182
význam	3174
Rakúsku	3172
predsa	3165
Napriek	3163
j	3159
skutočnosti	3158
lat	3155
myslíte	3155
domu	3135
vyhral	3130
pohode	3129
hovoril	3128
nielen	3122
neboli	3119
musia	3115
dolárov	3108
veku	3106
iný	3100
zlé	3100
L	3098
toku	3095
našiel	3079
oboch	3078
Prvá	3077
keďže	3076
ríše	3075
Midi	3074
nami	3074
Jozef	3066
smrť	3065
telo	3063
Graf	3062
treba	3061
priberá	3060
ňu	3058
správy	3054
tečie	3047
zase	3047
prvého	3042
odtiaľto	3041
úlohu	3036
tím	3027
vojna	3025
nazýva	3024
vaša	3021
taká	3017
veľká	3017
budovy	3016
volá	3016
živote	3011
vznikol	3010
pekla	3006
cirkvi	3005
vrátiť	3005
okresu	3002
nuž	3000
F	2998
boh	2995
hovorím	2992
sama	2992
haló	2983
druhov	2975
IV	2972
okolí	2971
činnosť	2966
dôležité	2961
činnosti	2959
l	2956
milujem	2947
označenie	2942
blízkosti	2927
nového	2926
stali	2914
ideš	2912
rodu	2908
hoci	2902
celom	2901
koho	2901
počúvaj	2900
cieľom	2897
vidíš	2897
vplyv	2888
R	2887
najviac	2884
štát	2883
dúfam	2882
in	2882
január	2881
ruky	2880
ťažké	2873
čože	2872
hlavným	2868
juhu	2867
Prahe	2866
počul	2860
voči	2859
dobrá	2858
vedie	2855
kultúry	2854
cca	2842
vami	2840
okej	2839
žiadny	2836
spolkovej	2831
existuje	2829
zabiť	2828
ostrov	2827
univerzite	2823
typ	2822
marec	2816
tí	2814
tisíc	2812
september	2801
zabil	2801
Le	2796
sily	2795
doktor	2792
našli	2792
finále	2790
členov	2790
odkiaľ	2787
stojí	2784
pekne	2778
oveľa	2773
dni	2770
prvom	2767
rady	2766
Nové	2763
hrad	2761
funkcie	2758
používajú	2758
práci	2757
strednej	2757
SR	2748
nových	2745
jún	2742
blízko	2739
knihy	2737
musíte	2733
U	2730
hviezdy	2727
súčasť	2723
D	2717
slovenských	2716
zdá	2714
založil	2712
začalo	2712
hlavu	2707
pracovať	2707
rodina	2705
informácie	2704
dobrú	2700
och	2699
chlapci	2695
prvým	2694
zmysle	2692
február	2690
založená	2688
rozhodol	2684
Život	2681
Košice	2680
hustota	2680
mŕtvy	2679
hudby	2678
Preto	2677
ostatných	2677
mesiacov	2676
hrá	2670
uvidíme	2670
príde	2668
kapitán	2664
povrchu	2663
častí	2657
zbraň	2655
štyroch	2652
Prvý	2643
rýchlosť	2643
severnej	2639
stanice	2639
hral	2634
mesiac	2632
august	2631
hviezda	2630
Bola	2629
energie	2628
Prvé	2626
veľkú	2626
hovoríš	2622
ze	2619
máj	2618
študoval	2618
apríl	2617
dôsledku	2611
Calais	2608
Veľký	2608
slečna	2606
vonku	2606
dvoma	2605
en	2603
júl	2601
Zeme	2600
T	2598
Rakúsko	2596
stane	2594
priateľ	2593
tela	2593
šesť	2593
jednotlivých	2588
kámo	2585
narodil	2574
Pas	2571
G	2569
Spojených	2569
nemáš	2569
vecí	2568
odísť	2565
školu	2565
posledný	2564
centrum	2559
zlato	2556
december	2555
isté	2555
hlavného	2554
pohyb	2551
známa	2549
november	2546
preteká	2544
málo	2539
článkov	2537
Už	2530
prišla	2528
žiť	2527
priemerná	2525
rod	2520
dám	2518
október	2517
pokračuje	2517
vláda	2517
detí	2510
Open	2509
Tu	2509
chlapec	2507
stav	2503
svojím	2502
verzia	2502
južnej	2501
získať	2497
síce	2496
dnu	2494
boha	2492
pôvodu	2483
starý	2483
čoskoro	2483
tvar	2482
sakra	2479
potrebné	2476
národné	2474
niekde	2472
celého	2469
prípadne	2469
jednou	2461
najlepší	2461
príbeh	2461
svätého	2461
týždeň	2459
Sú	2455
Nemecku	2449
získala	2448
ostatné	2446
P	2444
vydal	2443
člen	2443
páni	2442
vlastné	2432
mohlo	2431
druhy	2429
svojimi	2429
viacero	2429
profesor	2425
jednoducho	2423
poďte	2420
skončil	2420
služby	2420
krajín	2419
mora	2418
videla	2418
le	2415
Praha	2412
obcí	2412
hodiny	2410
posledných	2410
malá	2407
stor	2405
Veľkej	2402
E	2401
Nord	2400
začiatkom	2400
druhom	2398
Niektoré	2394
Lotrinsko	2392
tvoju	2390
chceli	2387
výrazne	2386
myslela	2384
stáča	2381
oči	2378
moci	2373
dosiahol	2371
ostrova	2371
mm	2368
severe	2367
diel	2365
skupine	2362
zákon	2360
nápad	2359
namiesto	2357
dajte	2355
zem	2349
dcéra	2348
nebudem	2345
vzduchu	2344
ktorou	2340
konečne	2333
skvelé	2329
vyše	2328
zaľudnenia	2325
koncom	2324
predstavuje	2321
strana	2318
ostrove	2317
svahu	2317
program	2315
spoločne	2315
Akvitánsko	2313
Sídlom	2313
sever	2312
označuje	2306
spraviť	2304
voda	2304
drž	2303
plán	2302
slovenského	2302
Pikardia	2300
pekné	2298
pol	2296
stavby	2295
venoval	2291
muža	2287
ženu	2283
Ide	2282
cítim	2282
druhá	2282
vedením	2280
neďaleko	2277
veľkých	2274
vnútri	2274
francúzsky	2271
vytvoril	2268
hľadiska	2267
brehu	2252
oficiálne	2250
musieť	2246
postavený	2246
bývalý	2242
zemi	2241
model	2239
hra	2236
prostredníctvom	2235
Centre	2234
čiže	2233
pocit	2231
východ	2231
nechal	2229
avšak	2228
proces	2228
stať	2227
zvyčajne	2227
súťaže	2225
potrebujeme	2223
všetkým	2221
museli	2217
dome	2214
veľkej	2214
býva	2213
rieka	2213
skladby	2210
zápas	2210
chlap	2209
armáda	2207
ďaleko	2207
jazyka	2205
krajinách	2205
vidiecka	2202
dôvodu	2201
pripravený	2199
nemali	2198
viedol	2197
okamžite	2196
toľko	2196
dobu	2193
Dolná	2192
novej	2192
powiatu	2191
cm	2187
kostola	2185
hlavy	2183
jednom	2182
východe	2182
úspech	2181
ach	2180
chcú	2180
Bystrica	2177
ne	2177
priestor	2177
vzťah	2176
nemohol	2174
pozrieť	2173
štúdium	2173
umenia	2169
Karol	2168
vytvára	2168
pieseň	2167
teórie	2166
hlavný	2163
západnej	2163
prezident	2161
prvú	2161
každého	2158
planétok	2158
sezóny	2153
prvky	2150
Francúzsku	2148
oci	2148
stranu	2147
zle	2147
založený	2140
totiž	2138
Jána	2134
novú	2134
budova	2132
druhého	2131
juh	2131
čoho	2128
motor	2127
nechať	2126
Pred	2124
rádu	2124
ZSSR	2122
skupinu	2121
zbrane	2121
ulici	2117
získali	2116
ktorými	2113
Márie	2109
dlhý	2108
jednotka	2108
spojenie	2108
srdce	2108
podobe	2106
Champagne	2104
najväčšie	2102
zrejme	2101
hviezd	2097
nemáme	2096
Skupina	2095
Burgundsko	2093
john	2092
prísť	2092
miestach	2090
ó	2088
najväčší	2087
e	2085
posledné	2084
lete	2081
skupín	2081
polovice	2080
Paríži	2076
použiť	2076
ťažko	2073
dôvod	2072
akoby	2069
vojakov	2068
poznám	2066
rad	2065
záujem	2065
rodine	2064
videli	2062
našej	2058
Marne	2057
Francúzska	2054
dr	2054
názvy	2053
vesmíru	2053
San	2051
Dnes	2050
nejakú	2050
uh	2050
piesne	2049
najčastejšie	2047
prechádza	2045
lietadlo	2044
Názov	2042
odtiaľ	2038
robil	2038
nemyslím	2037
človeče	2037
pôsobí	2035
celá	2034
aká	2033
jediná	2031
svetlo	2031
Banská	2028
žiadna	2028
H	2027
amerických	2025
histórii	2025
vlastnosti	2025
Nová	2023
potrebuje	2023
svojmu	2023
verzie	2023
zmeny	2022
ticho	2021
obraz	2020
Všetky	2019
nová	2017
čokoľvek	2015
du	2012
František	2011
robíte	2011
robím	2010
dala	2009
vrch	2008
vzdialenosti	2007
funkciu	2006
neskoro	2005
počkať	2005
sestra	2003
počkajte	1998
znie	1998
hranice	1997
mestá	1995
let	1994
prezidenta	1990
filme	1986
východnej	1986
Francúzsko	1985
dali	1985
forme	1985
slov	1984
čias	1975
najskôr	1974
výrobu	1974
priestoru	1973
Hoci	1969
vyššie	1968
Ardenne	1963
iste	1963
programu	1963
vzniká	1963
Jean	1962
naša	1961
sídlom	1961
brata	1959
umožňuje	1958
povedali	1954
filmu	1952
br	1951
atď	1950
sedem	1949
univerzity	1947
chlape	1946
západe	1945
Narodil	1944
h	1944
hráč	1944
Horná	1940
družstvo	1940
druhu	1938
stanica	1937
bitke	1936
dlhé	1936
správu	1934
mnohé	1931
planéty	1931
Vďaka	1930
desať	1929
Väčšina	1927
inými	1926
nemecký	1923
používať	1923
chlapče	1922
spisovateľ	1922
štúdia	1922
tímu	1919
tvojej	1918
podmienky	1916
ruku	1915
spravil	1915
štátoch	1915
čiastočne	1914
Keďže	1912
nemu	1912
Veľká	1908
ta	1908
vydala	1907
istá	1904
nechceš	1903
západ	1903
new	1902
hradu	1901
prostredia	1901
Slnka	1898
navyše	1898
autor	1897
letu	1897
našich	1897
láska	1896
výborne	1896
krv	1895
obaja	1895
projekt	1891
stáva	1890
národného	1889
podobné	1889
žiaden	1889
choďte	1885
čeľade	1882
kategórii	1881
čele	1881
ktorému	1880
platí	1875
šancu	1875
Côte	1869
hrách	1869
väčšinu	1868
kariéry	1867
obvykle	1867
pracuje	1867
odohral	1866
www	1865
kilometrov	1864
vydaný	1864
oblastiach	1862
druhé	1860
kniha	1859
články	1858
rozvoj	1857
včera	1855
žil	1855
obchod	1854
pôjdem	1854
Pod	1850
slova	1849
cisára	1846
Aby	1845
nechcel	1843
filozofie	1840
skončila	1840
mestskej	1838
nemala	1837
York	1836
nemajú	1829
čísla	1829
istom	1828
NHL	1827
začať	1827
park	1825
les	1823
považovaný	1823
naspäť	1821
metra	1820
Seine	1819
vojská	1819
jasne	1818
oproti	1818
c	1815
tretí	1815
niektorí	1814
France	1813
slovenská	1811
štýl	1811
hudbu	1810
síl	1810
hlavnej	1808
mojich	1808
peňazí	1806
založené	1806
uvádza	1804
cestou	1803
boji	1801
trón	1801
ľahko	1801
Ten	1800
nemôžeme	1800
vieme	1800
Comté	1799
Franche	1798
ocko	1797
vlastnú	1797
zmysel	1796
zápasy	1796
N	1795
hlavných	1795
Powiat	1794
pomaly	1793
stratil	1793
MS	1792
jednotiek	1792
myslí	1792
mojom	1790
šťastie	1788
podstate	1787
útok	1787
látky	1786
angl	1781
autorom	1780
kráľom	1776
pobreží	1776
skončení	1773
súťaž	1773
veľkým	1773
Nemecko	1771
využíva	1770
Pôvodne	1769
podporu	1767
nemeckých	1764
členovia	1764
slová	1763
takisto	1763
dochádza	1761
krátko	1761
nohy	1761
centrom	1760
nevidel	1760
súčasne	1760
Ale	1759
architektúry	1759
postavená	1759
prakticky	1758
farby	1756
pes	1755
prípad	1755
nevieš	1754
Paul	1751
rade	1750
firmy	1748
kategórie	1748
strach	1746
vznik	1746
štáty	1745
nepovedal	1744
stará	1744
výskum	1744
kg	1743
naopak	1743
zákona	1743
nechajte	1742
literatúry	1741
vyšiel	1740
umenie	1737
vznikli	1737
singel	1734
Bolo	1733
okruhu	1732
vzhľadom	1731
Ďalšie	1729
centra	1728
letisko	1727
rodičia	1727
Spolu	1726
snažil	1723
veľkosti	1722
Mária	1720
musela	1719
problémov	1719
úseku	1719
vodu	1718
Dňa	1711
otvorená	1710
stretol	1706
americkej	1705
zmluvu	1704
boj	1703
všade	1702
prístup	1700
dvakrát	1699
nevie	1699
schopný	1699
priatelia	1698
radu	1698
rodinu	1697
veliteľ	1697
zvolený	1696
Až	1695
X	1695
hier	1695
spojené	1695
výkon	1694
základnej	1694
štáte	1694
novín	1693
stačí	1693
dokázal	1691
vzniklo	1689
väčšie	1689
jack	1688
každom	1688
majster	1685
objavili	1685
Následne	1684
provincie	1684
vied	1684
ulica	1683
český	1682
hovoria	1681
urobila	1680
kráľovstvo	1678
pojem	1678
volám	1675
otcom	1674
vrchu	1674
formy	1673
organizácie	1672
vedľa	1670
chyba	1669
časťou	1668
parku	1667
Nemecka	1664
sústavy	1664
vyskytuje	1663
vyzeráš	1663
Ďalej	1663
olympijských	1662
poslednej	1662
každú	1661
postavenie	1661
prvkov	1660
republika	1660
použité	1659
počuť	1659
zostať	1658
bodov	1656
vrchol	1656
list	1655
povedzte	1655
poslal	1654
vlastný	1654
otázky	1652
prichádza	1652
teória	1651
napokon	1650
najväčším	1649
česko	1648
absolvoval	1644
Homo	1642
neboj	1642
jedlo	1640
obcou	1640
zlý	1640
hudba	1639
správa	1636
snáď	1634
významné	1633
zastaviť	1632
naďalej	1631
gréckej	1630
auta	1629
mesiace	1628
nášho	1628
pozostáva	1625
prešiel	1625
iným	1620
ono	1620
tvár	1619
pána	1618
Opis	1617
dievčatá	1615
tvojho	1615
slúži	1614
urobili	1614
vojnu	1614
kníh	1613
lietadiel	1613
boja	1612
nikoho	1611
Kostol	1610
zľava	1610
sk	1609
zápase	1609
Štefan	1609
Juraj	1608
osem	1607
nevedel	1606
postaviť	1606
použitie	1606
výroby	1606
štúdiu	1606
des	1605
povrch	1605
pekný	1604
tvorby	1604
vziať	1604
dnešnej	1603
každej	1603
turnaj	1603
zápasov	1603
strán	1601
sídlo	1601
vašu	1601
Košiciach	1600
aha	1600
nastúpil	1600
porozprávať	1600
hodnoty	1598
mladý	1598
dňoch	1597
noviny	1597
končí	1595
strede	1595
x	1594
nasledujúcom	1591
dostane	1590
tomuto	1588
útoku	1588
zmienka	1587
akú	1586
jednoduché	1586
najvyššej	1586
spravidla	1586
telefón	1586
zariadenia	1586
možnosti	1584
názor	1584
Viedni	1580
charakter	1580
most	1580
hráčov	1579
vychádza	1579
FC	1577
materiálu	1577
bojov	1576
druhú	1576
mena	1576
menšie	1575
základné	1575
Pavol	1574
dnešného	1574
Zo	1573
krvi	1573
považuje	1573
rozumiem	1573
Roussillon	1572
piatich	1572
veľkého	1570
dĺžka	1569
knihu	1568
sekúnd	1568
voľbách	1568
posádky	1566
ATP	1564
Album	1564
nasledujúcich	1564
väčší	1563
vojsk	1562
byt	1561
projektu	1561
Napríklad	1560
dôvodov	1560
Languedoc	1559
vzťahy	1559
b	1558
bojovať	1558
manželka	1558
Alexander	1557
stavu	1557
fakulte	1556
zvyšok	1556
úrovni	1554
generál	1553
hubu	1548
oblastí	1548
svetla	1547
City	1546
pokračoval	1545
vytvoriť	1545
zdravím	1545
spoločné	1544
dcéru	1543
špeciálne	1542
for	1541
tohoto	1541
vedela	1541
skladieb	1540
vypadni	1540
ulice	1539
jediné	1538
p	1538
robia	1537
al	1534
potoka	1534
tvorbe	1534
Robert	1533
ceny	1533
hodinu	1533
dráhu	1532
Slovenská	1531
malých	1531
kapely	1530
veriť	1529
Moselle	1528
spať	1526
súd	1526
tou	1526
cieľ	1525
najväčších	1525
porazil	1524
lodí	1523
súvislosti	1523
urobím	1523
Pays	1522
titulky	1522
Ivan	1521
Petra	1521
výsledky	1520
University	1518
doslova	1518
takéto	1517
David	1516
dokáže	1516
pokračovať	1516
riešenie	1516
súbor	1516
návrh	1515
vplyvom	1515
zostal	1515
išiel	1513
W	1512
budúcnosti	1512
pozornosť	1512
hlas	1511
okraji	1511
článok	1511
skupinou	1509
žiadnu	1506
vzťahu	1505
odkazy	1504
stavba	1504
vytvorili	1504
dejín	1502
materiál	1502
máji	1502
sila	1502
spomína	1498
základných	1498
Poitou	1497
cirkev	1497
ligy	1497
posledná	1497
poznáš	1497
dynastie	1496
veža	1495
ľuďom	1495
rieke	1494
mení	1492
zariadenie	1490
silu	1489
januári	1488
nechce	1488
zomrela	1488
čomu	1487
obe	1485
provincii	1485
politických	1484
dĺžku	1482
hru	1481
potrebuješ	1479
com	1478
futbalový	1478
septembri	1477
išlo	1476
Mikuláš	1475
Charentes	1474
nemeckej	1473
poradí	1471
rebríčku	1471
významný	1470
Študoval	1470
nim	1468
otvor	1468
ďalšími	1468
pohár	1467
Nový	1466
Obsahuje	1466
spája	1466
dáva	1465
udalosti	1465
hmotnosť	1464
učiteľ	1464
moji	1462
stránka	1462
južne	1461
medzinárodných	1461
Michal	1459
polícia	1459
pravidlá	1459
doprava	1458
dámy	1458
kráľovstva	1458
van	1458
vysoko	1458
postup	1455
pole	1454
smere	1454
značne	1454
herec	1452
vraj	1452
krajina	1450
marci	1450
zmeniť	1450
Zem	1449
oženil	1449
profesionálny	1449
turné	1449
zavolať	1448
americká	1446
začiatok	1445
synom	1444
stál	1443
vodou	1442
dráhy	1441
navzájom	1441
sami	1441
zmenil	1440
Uhorska	1439
našu	1439
zúčastnil	1439
lodi	1438
neustále	1437
patril	1436
Maritime	1435
jednotlivé	1435
lietadla	1434
trať	1433
snaží	1431
cisár	1430
hudobný	1430
